，||151||255||15||38||5||199||0
?||1||1||0||0||4||0||4
安静||0||0||0||0||2||0||0
…||13||11||5||28||14||52||6
！||174||95||11||14||9||46||4
.||44||10||0||29||0||49||0
雷||0||0||0||0||0||0||1
室||0||0||0||0||0||0||1
小波||0||0||0||0||0||0||1
宝宝||0||0||0||0||0||0||1
丁丁||0||0||0||0||0||0||1
迪西||0||0||0||0||0||0||1
天线||0||0||0||0||0||0||1
拉拉||0||0||0||0||0||0||1
身高||0||0||0||0||2||0||2
标准||0||0||0||0||2||0||2
星座||0||0||0||0||2||0||2
惊||0||0||0||0||2||0||2
[怒]||0||0||3||1||0||0||0
校长||0||0||2||0||0||0||0
~||174||75||0||5||0||23||1
靠||0||0||0||4||0||0||0
从没||0||0||0||0||1||0||0
打工||0||0||0||0||1||0||0
印象||0||0||0||0||1||0||0
电锯||0||0||0||0||1||0||0
独自||0||0||0||0||1||0||0
请假||0||0||0||0||1||0||0
恐惧||0||0||0||0||1||0||0
冲突||0||0||0||0||1||0||0
惊魂||0||0||0||0||1||0||0
上海||0||0||0||0||1||0||0
[咆哮]||0||0||0||0||1||0||0
吉他||0||0||0||0||1||0||0
来临||0||0||0||0||1||0||0
远门||0||0||0||0||1||0||0
练习||0||0||0||0||1||0||0
木||0||0||0||0||2||2||0
出||3||4||0||9||1||3||0
等待||1||1||0||5||0||0||0
邮箱||0||1||2||0||0||0||0
竟然||0||1||0||1||1||2||2
事件||0||0||0||3||0||0||0
害怕||0||0||0||0||2||3||0
著名||0||0||0||0||1||0||1
音乐会||0||0||0||0||1||0||1
社会主义||0||0||0||0||1||0||1
准||0||0||0||0||1||0||1
现||0||0||0||0||1||0||1
175||0||0||0||0||1||0||1
157||0||0||0||0||1||0||1
经典||0||0||0||0||1||0||1
语录||0||0||0||0||1||0||1
穷乡僻壤||0||0||0||0||1||0||1
某||0||0||0||0||1||0||1
F||0||0||0||0||1||0||1
爷爷||0||0||1||0||0||0||0
大人||0||0||1||0||0||0||0
有人||0||0||1||0||0||0||0
妹||0||0||1||0||0||0||0
变态||0||0||1||0||0||0||0
忽||0||0||1||0||0||0||0
隔壁||0||0||1||0||0||0||0
president@mail.gdufs.edu.cn||0||0||1||0||0||0||0
尼||0||0||1||0||0||0||0
老娘||0||0||1||0||0||0||0
人民||0||0||1||0||0||0||0
傻子||0||0||1||0||0||0||0
挑衅||0||0||1||0||0||0||0
青春||0||0||1||0||0||0||0
友||0||0||1||0||0||0||0
音响||0||0||1||0||0||0||0
心理||0||0||1||0||0||0||0
玛||0||0||1||0||0||0||0
好不容易||0||0||1||0||0||0||0
仲伟合||0||0||1||0||0||0||0
shit||0||0||1||0||0||0||0
广告||0||0||1||0||0||0||0
墙上||0||0||1||0||0||0||0
咱们||0||0||1||0||0||0||0
耳机||0||0||1||0||0||0||0
舍||0||0||1||0||0||0||0
洞||0||0||1||0||0||0||0
TM||0||0||1||0||0||0||0
捣乱||0||0||1||0||0||0||0
乱来||0||0||1||0||0||0||0
么||0||0||1||0||0||0||0
股||0||0||1||0||0||0||0
AV||0||0||1||0||0||0||0
噪音||0||0||1||0||0||0||0
渣||0||0||1||0||0||0||0
慢||0||0||1||0||0||0||0
恢复正常||0||0||1||0||0||0||0
怒||0||0||1||0||0||0||0
写信||0||0||1||0||0||0||0
蹩脚||0||0||1||0||0||0||0
扔||0||0||1||0||0||0||0
简直||0||0||1||0||0||0||0
撩||0||0||1||0||0||0||0
撑||0||0||1||0||0||0||0
大好||0||0||1||0||0||0||0
冲动||0||0||1||0||0||0||0
当年||0||0||1||0||0||0||0
暴||0||0||1||0||0||0||0
银行||0||2||2||0||0||0||0
车||1||1||0||0||2||2||0
有时||0||1||0||3||0||0||0
女||2||1||0||1||2||2||2
!||36||8||0||0||1||0||1
无知||0||0||0||2||0||0||0
倒霉||0||0||0||2||0||0||0
點||0||0||0||2||0||0||0
兽||0||0||0||2||0||0||0
卧底||0||0||0||2||0||0||0
不耐烦||0||0||0||2||0||0||0
‘||0||0||0||2||0||0||0
’||0||0||0||2||0||0||0
装||0||0||0||2||0||0||0
化||0||0||0||0||0||10||0
暴风雨||0||1||0||0||1||0||0
坚持||0||0||0||0||1||1||0
老板||0||0||0||0||1||1||0
合唱||1||0||0||0||1||0||1
娘||0||0||0||1||1||0||1
爆||0||0||1||0||1||0||1
足足||0||0||0||1||1||0||1
美国||0||1||0||0||1||0||1
进||1||1||0||0||0||0||1
；||0||2||0||0||0||12||0
。||90||109||3||13||2||92||2
是||37||45||11||11||1||42||1
中国||0||1||0||3||0||1||0
啊啊||5||4||0||3||0||20||0
我||35||56||4||22||6||60||3
什么||2||4||4||2||0||9||0
不||20||26||6||5||4||43||1
想||3||9||0||0||3||6||0
[泪]||2||0||0||2||0||12||0
这种||0||0||0||0||1||2||1
神奇||0||2||0||0||1||0||1
能||5||8||1||1||3||4||0
越来越||2||1||0||3||0||0||0
本||2||0||0||3||0||1||0
就||11||18||6||11||0||14||1
烦||0||0||1||2||0||0||0
块||0||1||0||2||0||0||0
機||0||1||0||2||0||0||0
脱||0||0||0||2||0||1||0
广州||1||0||0||2||0||0||0
B||0||1||0||2||0||0||0
